sID	item	itemNumber	block	type	shapeOne	shapeTwo	mode	onset_time	record_time	response
1	8	49	1	SC	trired	trired2	prime	1308330416	1.325501	9
1	34	62	1	SC	heartblack	heartblack2	prime	1308330473	1.010598	9
1	36	33	1	SC	octored	octored2	prime	1308330476	1.159787	9
1	9	13	1	S	diablack	diared	prime	1308330417	2.220393	8
1	13	72	1	S	diablue	diared	prime	1308330428	1.159688	8
1	26	56	1	S	trired	tripurp	prime	1308330455	1.67348	8
1	31	45	1	S	sqblue	sqpurp	prime	1308330467	1.275688	8
1	32	11	1	S	circlepurp	circleblue	prime	1308330469	1.02703	8
1	42	44	1	S	sqpurp	sqred	prime	1308330489	1.424843	8
1	46	12	1	S	circleblue	circlered	prime	1308330496	1.557423	8
1	47	59	1	S	heartpurp	heartred	prime	1308330498	1.590609	8
1	68	25	1	S	octoblue	octopurp	prime	1308330541	1.474669	8
1	4	63	1	S	heartpurp	heartblack	prime	1308330407	1.9884	7
1	18	66	1	S	heartred	heartpurp	prime	1308330439	1.275784	7
1	29	70	1	S	heartblack	heartblue	prime	1308330462	1.59071	7
1	44	5	1	C	heartred	circlered	prime	1308330493	1.47468	7
1	45	18	1	C	diared	trired	prime	1308330495	1.42487	7
1	49	17	1	C	circlepurp	diapurp	prime	1308330503	1.640246	7
1	53	36	1	S	sqblue	sqred	prime	1308330512	1.341943	7
1	59	24	1	C	octoblack	circleblack	prime	1308330523	1.772869	7
1	7	38	1	C	sqblue	diablue	prime	1308330414	1.723188	6
1	15	14	1	C	diablack	heartblack	prime	1308330433	1.640334	6
1	24	7	1	C	circleblue	octoblue	prime	1308330451	1.209237	6
1	27	19	1	N	diared	triblack	prime	1308330457	2.767342	6
1	39	51	1	C	sqblue	triblue	prime	1308330482	1.076905	6
1	43	1	1	C	circlered	sqred	prime	1308330491	1.690096	6
1	56	8	1	N	circleblue	octoblack	prime	1308330517	1.474603	6
1	60	20	1	C	circleblue	diablue	prime	1308330525	1.772954	6
1	62	29	1	C	octoblue	circleblue	prime	1308330530	1.457991	6
1	2	47	1	C	trired	diared	prime	1308330400	2.469045	5
1	5	65	1	C	heartred	octored	prime	1308330409	2.004939	5
1	10	15	1	N	heartblue	diablack	prime	1308330420	1.971802	5
1	41	31	1	C	octored	heartred	prime	1308330486	1.839281	5
1	57	71	1	C	diapurp	circlepurp	prime	1308330519	1.259156	5
1	65	68	1	C	heartblue	circleblue	prime	1308330536	1.110057	5
1	71	46	1	N	octoblue	sqpurp	prime	1308330546	1.723142	5
1	6	57	1	C	circlepurp	tripurp	prime	1308330411	1.75645	4
1	11	16	1	N	diapurp	circlered	prime	1308330423	2.883342	4
1	25	6	1	N	triblack	circlered	prime	1308330453	1.391699	4
1	28	58	1	N	tripurp	diablack	prime	1308330460	1.806073	4
1	30	54	1	N	octored	triblack	prime	1308330464	2.701006	4
1	40	42	1	N	sqblack	diared	prime	1308330484	2.286699	4
1	50	43	1	N	sqblack	circlered	prime	1308330505	1.756309	4
1	55	50	1	N	circlered	triblue	prime	1308330516	1.275669	4
1	61	48	1	N	trired	diablack	prime	1308330527	2.220351	4
1	63	60	1	N	heartpurp	octoblack	prime	1308330532	1.839223	4
1	69	69	1	N	diared	heartblue	prime	1308330543	1.342067	4
1	3	10	1	N	diapurp	circleblue	prime	1308330403	3.579382	3
1	12	32	1	N	sqblack	octored	prime	1308330426	1.507719	3
1	16	34	1	N	octoblack	diapurp	prime	1308330435	1.988361	3
1	19	61	1	N	diared	heartpurp	prime	1308330441	2.236987	3
1	20	55	1	N	triblack	sqpurp	prime	1308330443	1.441456	3
1	21	22	1	N	octoblack	heartblue	prime	1308330445	1.391805	3
1	22	52	1	N	heartred	triblue	prime	1308330447	1.789491	3
1	23	30	1	N	heartred	octoblue	prime	1308330449	1.358595	3
1	35	67	1	N	triblack	heartred	prime	1308330474	1.739829	3
1	37	39	1	N	sqblue	circlepurp	prime	1308330478	1.756394	3
1	38	4	1	N	circlered	diapurp	prime	1308330480	1.822638	3
1	48	3	1	N	circlered	diablue	prime	1308330500	2.170612	3
1	51	37	1	N	heartblue	sqred	prime	1308330507	1.756401	3
1	54	23	1	N	diapurp	octoblack	prime	1308330514	1.126567	3
1	66	41	1	N	triblue	sqblack	prime	1308330538	1.690116	3
1	67	2	1	N	sqblue	circlered	prime	1308330540	1.192893	3
1	70	40	1	N	triblack	sqblue	prime	1308330545	0.944302	3
1	14	27	1	N	octopurp	triblack	prime	1308330429	2.833611	2
1	17	64	1	N	sqblue	heartblack	prime	1308330437	1.540862	2
1	33	21	1	N	diablue	heartred	prime	1308330471	1.590608	2
1	52	26	1	N	sqblue	octopurp	prime	1308330509	2.253613	2
1	58	53	1	N	triblack	heartblue	prime	1308330521	1.424853	2
1	64	9	1	N	sqred	circleblue	prime	1308330534	1.772936	2
1	0	35	1	C	sqred	circlered	prime	1308330392	1.75627	1
1	1	28	1	N	octoblue	trired	prime	1308330394	5.104103	1
10	3	59	1	S	heartpurp	heartred	prime	1308596833	10.009765	None
10	24	49	1	SC	trired	trired2	prime	1308596880	1.689923	9
10	68	33	1	SC	octored	octored2	prime	1308596965	1.656895	9
10	4	2	1	N	sqblue	circlered	prime	1308596843	0.099026	5
10	9	17	1	C	circlepurp	diapurp	prime	1308596852	1.308882	5
10	13	71	1	C	diapurp	circlepurp	prime	1308596860	1.623722	5
10	14	63	1	S	heartpurp	heartblack	prime	1308596862	1.192823	5
10	16	68	1	C	heartblue	circleblue	prime	1308596867	1.424794	5
10	17	70	1	S	heartblack	heartblue	prime	1308596869	1.110005	5
10	19	11	1	S	circlepurp	circleblue	prime	1308596872	1.226013	5
10	21	45	1	S	sqblue	sqpurp	prime	1308596875	1.590659	5
10	26	31	1	C	octored	heartred	prime	1308596885	1.988328	5
10	27	24	1	C	octoblack	circleblack	prime	1308596887	2.038098	5
10	28	13	1	S	diablack	diared	prime	1308596890	1.971725	5
10	29	12	1	S	circleblue	circlered	prime	1308596892	1.574135	5
10	33	65	1	C	heartred	octored	prime	1308596899	1.673455	5
10	34	35	1	C	sqred	circlered	prime	1308596901	1.192889	5
10	35	14	1	C	diablack	heartblack	prime	1308596903	0.944286	5
10	43	51	1	C	sqblue	triblue	prime	1308596921	1.95514	5
10	47	72	1	S	diablue	diared	prime	1308596928	1.292275	5
10	48	18	1	C	diared	trired	prime	1308596930	1.52428	5
10	51	36	1	S	sqblue	sqred	prime	1308596935	1.342009	5
10	55	29	1	C	octoblue	circleblue	prime	1308596941	1.226023	5
10	56	47	1	C	trired	diared	prime	1308596943	0.662549	5
10	57	66	1	S	heartred	heartpurp	prime	1308596944	0.66242	5
10	58	57	1	C	circlepurp	tripurp	prime	1308596945	0.745288	5
10	59	7	1	C	circleblue	octoblue	prime	1308596946	0.513446	5
10	60	20	1	C	circleblue	diablue	prime	1308596947	0.480201	5
10	61	56	1	S	trired	tripurp	prime	1308596948	0.579596	5
10	63	1	1	C	circlered	sqred	prime	1308596952	2.120964	5
10	65	25	1	S	octoblue	octopurp	prime	1308596959	1.275765	5
10	66	38	1	C	sqblue	diablue	prime	1308596961	3.231218	5
10	67	62	1	SC	heartblack	heartblack2	prime	1308596964	0.579633	5
10	70	44	1	S	sqpurp	sqred	prime	1308596971	1.325327	5
10	71	5	1	C	heartred	circlered	prime	1308596972	1.093457	5
10	0	50	1	N	circlered	triblue	prime	1308596822	4.739373	1
10	1	67	1	N	triblack	heartred	prime	1308596828	2.236932	1
10	2	41	1	N	triblue	sqblack	prime	1308596830	2.071284	1
10	5	48	1	N	trired	diablack	prime	1308596844	1.607061	1
10	6	16	1	N	diapurp	circlered	prime	1308596846	2.203764	1
10	7	4	1	N	circlered	diapurp	prime	1308596848	1.242586	1
10	8	3	1	N	circlered	diablue	prime	1308596850	1.424847	1
10	10	37	1	N	heartblue	sqred	prime	1308596854	1.574	1
