item	itemNumber	block	type	shapeOne	shapeTwo	shapeThree	shapeFour	line	shapeFive	shapeSix	shapeSeven	shapeEight	sID	mode	onset_time	record_time	response	Other_keys
0	47.0	2	sample	circlepurp	octored	diagreen	none	line	heartpurp	octored	sqgreen	none	1	prime	1308331069.420900	3.149476	8	
1	18.0	2	sample	trired	circleblue	trired	none	line	circleblue	trired	circleblue	none	1	prime	1308331073.073685	1.071147	9	
2	65.0	2	sample	triyellow	sqgreen	triblue	heartblack	line	sqgreen	trigreen	octored	heartblack	1	prime	1308331074.665910	1.384848	2	
3	14.0	2	sample	circleblack	triblue	circleblack	none	line	circleblack	trigreen	circleblack	none	1	prime	1308331076.547707	1.259867	7	
4	76.0	2	sample	circleyellow	sqpurp	octoblue	none	line	none	sqpurp	octoblue	none	1	prime	1308331078.292136	2.084256	7	
5	92.0	2	sample	triblue	diared	octoyellow	heartpurp	line	circleblack	sqgreen	triblue	none	1	prime	1308331080.884752	1.082742	3	
6	79.0	2	sample	sqblue	octored	trigreen	none	line	none	sqblue	octored	none	1	prime	1308331082.454405	1.104074	7	
7	30.0	2	sample	sqgreen	heartred	trigreen	heartgreen	line	heartred	circleyellow	circleyellow	triyellow	1	prime	1308331084.076933	1.685769	3	
8	93.0	2	sample	octopurp	triyellow	sqred	heartblack	line	diablue	circlegreen	octopurp	none	1	prime	1308331086.270394	0.834804	2	
9	83.0	2	sample	circleyellow	diablack	circleyellow	none	line	none	circleblack	circleblack	none	1	prime	1308331087.587788	1.290805	6	
10	102.0	2	sample	sqpurp	sqpurp	heartyellow	heartred	line	heartblue	triyellow	sqred	none	1	prime	1308331089.384269	1.698470	3	
11	16.0	2	sample	circleblue	diablack	circleblue	none	line	circleblue	diablue	circleblue	none	1	prime	1308331091.578477	2.222246	8	
12	69.0	2	sample	circlepurp	octored	sqpurp	diared	line	circlepurp	octored	sqpurp	diared	1	prime	1308331094.314186	1.259892	9	
13	105.0	2	sample	heartpurp	heartpurp	diared	diayellow	line	diapurp	trired	heartyellow	none	1	prime	1308331096.081072	1.647594	4	
14	56.0	2	sample	sqred	circlegreen	octoyellow	diapurp	line	circlepurp	diayellow	sqgreen	octored	1	prime	1308331098.241696	1.608372	3	
15	61.0	2	sample	circleblue	heartred	octogreen	sqred	line	circleblue	sqyellow	octogreen	heartblack	1	prime	1308331100.365432	2.086604	2	
16	104.0	2	sample	diapurp	diapurp	triblue	triyellow	line	tripurp	heartblue	diayellow	none	1	prime	1308331102.962259	2.356918	4	
17	80.0	2	sample	triblack	tripurp	triblack	none	line	none	triblack	triblack	none	1	prime	1308331105.810629	1.149328	8	
18	28.0	2	sample	circlered	octogreen	circlered	octoblue	line	circlered	trigreen	circlered	triblue	1	prime	1308331107.482016	1.549638	7	
19	74.0	2	sample	sqblack	heartyellow	circlepurp	none	line	none	sqpurp	heartyellow	none	1	prime	1308331109.513142	1.606731	5	
20	27.0	2	sample	octored	diagreen	circleblack	circlepurp	line	heartred	sqgreen	triblack	tripurp	1	prime	1308331111.636871	1.819779	4	
21	72.0	2	sample	sqyellow	tripurp	diared	none	line	none	octoblue	heartblack	none	1	prime	1308331113.941237	1.139646	2	
22	46.0	2	sample	triblue	sqpurp	circleblack	none	line	heartblue	sqpurp	diablack	none	1	prime	1308331115.574315	2.075404	6	
23	60.0	2	sample	circlered	triblack	octoblue	sqblack	line	circlered	sqyellow	octoblue	tripurp	1	prime	1308331118.167682	2.183498	4	
24	3.0	2	sample	octoblack	trigreen	circleblue	none	line	octoblack	heartred	circleblue	none	1	prime	1308331120.848153	1.558066	5	
25	59.0	2	sample	sqyellow	triblue	triblack	octopurp	line	diagreen	diablue	diablack	octopurp	1	prime	1308331122.922463	2.367547	3	
