sID	item	itemNumber	block	Shape.method	Color.method	shapeOne	shapeTwo	line	shapeThree	shapeFour	mode	onset_time	record_time	Rating
12	14	1	7	AB	AB	sqblue	octored	line	sqblue	octored	prime	1308600450	1.746669	9
12	42	2	7	AB	BA	circleblack	trired	line	circlered	triblack	prime	1308600518	2.041717	8
12	59	3	7	AB	AA	tripurp	diared	line	tripurp	diapurp	prime	1308600564	0.966174	9
12	40	4	7	AB	BB	diablue	circleblack	line	diablack	circleblack	prime	1308600513	1.400452	8
12	28	5	7	AB	AC	heartred	tripurp	line	heartred	triblue	prime	1308600486	1.229726	7
12	46	6	7	AB	CB	sqred	tripurp	line	sqblue	tripurp	prime	1308600529	2.09315	6
12	56	7	7	AB	CA	octopurp	trired	line	octoblack	tripurp	prime	1308600557	0.998758	7
12	11	8	7	AB	BC	octoblue	tripurp	line	octopurp	trired	prime	1308600441	2.903787	7
12	52	9	7	AB	CD	triblue	heartred	line	tripurp	heartblack	prime	1308600546	4.776994	7
12	68	10	7	AB	AB	sqblack	diapurp	line	sqblack	diapurp	prime	1308600585	1.087885	8
12	0	11	7	AB	BA	triblue	sqpurp	line	sqblue	tripurp	prime	1308600402	6.598105	8
12	23	12	7	AB	AA	circleblue	sqred	line	circleblue	circlered	prime	1308600473	5.673717	7
12	2	13	7	AB	BB	triblue	sqblack	line	sqblue	sqblack	prime	1308600414	2.393211	7
12	21	14	7	AB	AC	diapurp	circlered	line	diapurp	trired	prime	1308600469	1.729002	8
12	79	15	7	AB	CB	heartred	diapurp	line	trired	diapurp	prime	1308600610	1.198919	7
12	32	16	7	AB	CA	heartred	octopurp	line	trired	heartpurp	prime	1308600494	1.24883	8
12	49	17	7	AB	BC	triblue	heartblack	line	heartblue	circleblack	prime	1308600540	2.193119	7
12	54	18	7	AB	CD	heartblue	sqpurp	line	diablue	tripurp	prime	1308600553	0.918205	8
12	47	19	7	AB	AB	heartblue	diablack	line	heartblue	diablack	prime	1308600531	3.123726	7
