itemNumber,block,type,shape1,color1,shape2,color2,line,shape3,color3,shape4,color4
1,7,larkey,0,0,1,1,line,0,0,1,1
2,7,larkey,0,0,1,1,line,0,1,1,0
3,7,larkey,0,0,1,1,line,0,0,1,0
4,7,larkey,0,0,1,1,line,0,1,1,1
5,7,larkey,0,0,1,1,line,0,0,1,2
6,7,larkey,0,0,1,1,line,0,2,1,1
7,7,larkey,0,0,1,1,line,0,2,1,0
8,7,larkey,0,0,1,1,line,0,1,1,2
9,7,larkey,0,0,1,1,line,0,2,1,3
10,7,larkey,0,0,1,1,line,0,0,1,1
11,7,larkey,0,0,1,1,line,1,0,0,1
12,7,larkey,0,0,1,1,line,0,0,0,1
13,7,larkey,0,0,1,1,line,1,0,1,1
14,7,larkey,0,0,1,1,line,0,0,2,1
15,7,larkey,0,0,1,1,line,2,0,1,1
16,7,larkey,0,0,1,1,line,2,0,0,1
17,7,larkey,0,0,1,1,line,1,0,2,1
18,7,larkey,0,0,1,1,line,2,0,3,1
19,7,larkey,0,0,1,1,line,0,0,1,1
20,7,larkey,0,0,1,1,line,1,0,0,1
21,7,larkey,0,0,1,1,line,1,0,0,0
22,7,larkey,0,0,1,1,line,1,1,0,1
23,7,larkey,0,0,1,1,line,1,0,0,2
24,7,larkey,0,0,1,1,line,1,2,0,1
25,7,larkey,0,0,1,1,line,1,2,0,0
26,7,larkey,0,0,1,1,line,1,1,0,2
27,7,larkey,0,0,1,1,line,1,2,0,3
28,7,larkey,0,0,1,1,line,0,0,1,1
29,7,larkey,0,0,1,1,line,0,1,1,0
30,7,larkey,0,0,1,1,line,0,0,1,0
31,7,larkey,0,0,1,1,line,0,1,1,1
32,7,larkey,0,0,1,1,line,0,0,1,2
33,7,larkey,0,0,1,1,line,0,2,1,1
34,7,larkey,0,0,1,1,line,0,2,1,0
35,7,larkey,0,0,1,1,line,0,1,1,2
36,7,larkey,0,0,1,1,line,0,2,1,3
37,7,larkey,0,0,1,1,line,0,0,1,1
38,7,larkey,0,0,1,1,line,1,0,0,1
39,7,larkey,0,0,1,1,line,0,0,0,1
40,7,larkey,0,0,1,1,line,1,0,1,1
41,7,larkey,0,0,1,1,line,0,0,2,1
42,7,larkey,0,0,1,1,line,2,0,1,1
43,7,larkey,0,0,1,1,line,2,0,0,1
44,7,larkey,0,0,1,1,line,1,0,2,1
45,7,larkey,0,0,1,1,line,2,0,3,1
46,7,larkey,0,0,1,1,line,0,0,1,1
47,7,larkey,0,0,1,1,line,1,0,0,1
48,7,larkey,0,0,1,1,line,1,0,0,0
49,7,larkey,0,0,1,1,line,1,1,0,1
50,7,larkey,0,0,1,1,line,1,0,0,2
51,7,larkey,0,0,1,1,line,1,2,0,1
52,7,larkey,0,0,1,1,line,1,2,0,0
53,7,larkey,0,0,1,1,line,1,1,0,2
54,7,larkey,0,0,1,1,line,1,2,0,3
55,7,larkey,0,0,1,1,line,0,0,1,1
56,7,larkey,0,0,1,1,line,0,1,1,0
57,7,larkey,0,0,1,1,line,0,0,1,0
58,7,larkey,0,0,1,1,line,0,1,1,1
59,7,larkey,0,0,1,1,line,0,0,1,2
60,7,larkey,0,0,1,1,line,0,2,1,1
61,7,larkey,0,0,1,1,line,0,2,1,0
62,7,larkey,0,0,1,1,line,0,1,1,2
63,7,larkey,0,0,1,1,line,0,2,1,3
64,7,larkey,0,0,1,1,line,0,0,1,1
65,7,larkey,0,0,1,1,line,1,0,0,1
66,7,larkey,0,0,1,1,line,0,0,0,1
67,7,larkey,0,0,1,1,line,1,0,1,1
68,7,larkey,0,0,1,1,line,0,0,2,1
69,7,larkey,0,0,1,1,line,2,0,1,1
70,7,larkey,0,0,1,1,line,2,0,0,1
71,7,larkey,0,0,1,1,line,1,0,2,1
72,7,larkey,0,0,1,1,line,2,0,3,1
73,7,larkey,0,0,1,1,line,0,0,1,1
74,7,larkey,0,0,1,1,line,1,0,0,1
75,7,larkey,0,0,1,1,line,1,0,0,0
76,7,larkey,0,0,1,1,line,1,1,0,1
77,7,larkey,0,0,1,1,line,1,0,0,2
78,7,larkey,0,0,1,1,line,1,2,0,1
79,7,larkey,0,0,1,1,line,1,2,0,0
80,7,larkey,0,0,1,1,line,1,1,0,2
81,7,larkey,0,0,1,1,line,1,2,0,3
